"cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
6,0.6,89,22.8,16.6,13.4,0,101680,0
6,6.4,190,19.8,17.4,11.9,2.3,101820,0
5,9.9,233,19.6,16.6,13.4,0.2,101480,0
4,8.1,210,16.1,14.8,10,0,101380,0
4,5.4,173,16.9,12.4,8.8,2.1,100820,0
6,2.7,130,18.3,13.3,9.7,0,100940,0
6,2.5,126,18.7,13.2,8,0,101080,0
5,7.4,196,17.4,14.6,10.5,0,101520,0
4,8.3,205,21.8,13.4,9.4,0,102080,0
0,12.5,251,23.9,13.8,5.7,0,102530,0
4,12,244,26,16.4,9,0,102560,0
3,10.6,227,23.1,18.8,11.7,0,102090,0
6,0.8,86,22.8,18,13,0,102000,0
6,4.6,145,21.6,19.1,15.4,3.6,101790,0
6,6.3,166,19.4,18.3,15,0.9,101410,0
7,1.6,97,21.7,16.2,13.1,0,101660,0
4,8,182,23.6,16.1,10.5,0,102500,0
0,11.3,215,25.9,16.8,10,0,101980,0
2,8.5,185,21.9,19.2,12.6,0,101150,0
4,8.6,184,24.3,17.2,12.5,0,101770,0
NA,5.9,153,21.8,17.9,11.5,0,101870,0
6,3.7,124,21.2,18.5,15.2,0,101990,0
7,3.9,125,23.2,17.7,14.2,0,102460,0
2,9.5,187,17.4,16.8,10.3,0,102250,0
4,2.4,102,18.5,13.6,9.8,0,101910,0
4,9.9,187,18.2,15.4,12.4,0,101880,0
4,7.1,157,17.4,11.4,4.7,0,102260,0
3,10.6,190,20.2,11.7,6,0,102860,0
1,11.2,194,21.2,13.6,6.9,0,102530,0
4,5.2,132,20.4,15.4,9.6,0,101540,0
8,0,46,18.3,16.3,12.2,5.5,101230,0
8,0,46,17.6,17.4,16.4,7,101340,0
3,10.9,184,15.5,14.2,10.7,0,101240,0
3,6.4,139,14.2,10.5,5.5,3.3,101680,0
2,9.3,166,14.7,9.2,4.3,0,102230,0
5,0.5,59,16.6,9.5,4.3,0.3,102270,0
5,7.9,149,18.6,12.1,7.6,0,102350,0
8,0.6,60,21,13.5,8.4,0,102100,0
7,1.4,73,17.7,17.2,13.5,0.2,101880,0
6,6.5,131,17.4,15.4,13.2,0,102590,0
4,7.4,138,17.1,12.5,7.6,0,103190,0
5,6.9,132,18.7,12,6.8,0,102800,0
6,1.5,71,19,14.4,10.1,0,102070,0
5,4.6,107,20.5,14.3,9.6,0,101850,0
5,6.3,122,20.1,13.6,6.7,0,101820,0
7,0.7,55,17,15.7,11.3,0.9,101170,0
7,1.8,71,17.1,15.6,14.3,0,100500,0
3,9.1,141,18.8,11.6,6.1,0,100880,0
6,5.4,108,19.9,13.2,7.7,2.1,100920,0
5,5.7,109,21.7,15.9,11.9,0,101140,0
7,5.3,104,21.1,16.3,10.9,10.5,101390,0
7,3.9,90,16.7,18.2,15.2,9.1,100910,0
8,0,33,18.4,15.6,14.4,11.9,100280,0
5,7.1,115,19.2,14.4,10.5,0.1,100310,0
5,6,105,18.1,14.6,10,0.3,99820,0
6,2.4,70,17.3,15.6,13,0,99350,0
5,5.3,96,17.9,13.1,8.9,0,99510,0
NA,2.7,71,16,12.4,7,0,99970,0
7,3.1,74,16,12.6,9.2,0,101160,0
7,1.7,58,15.8,12.6,9.1,1,102210,0
3,9.5,121,18,12.2,8.6,0,102730,0
6,5.7,93,14.4,13.4,8.8,0,102560,0
7,0.6,41,15,12.4,10.5,0,102690,0
4,3.7,74,13.8,10.6,6.3,0,102730,0
4,3.9,74,11.8,11.2,8.5,0,102300,0
6,4.3,77,13.7,9,6.1,0,101820,0
6,2.3,58,13.6,10.8,7.8,7.3,101330,0
8,0,26,12.9,11.6,9.6,18.8,100710,0
8,0,25,12.4,11.6,10.2,3.1,100740,0
3,6.1,85,10.6,9.1,5.8,0,100950,0
3,4.3,71,12.1,5.8,0.9,0,100830,0
4,8,95,14.3,7.7,3.3,0,100930,0
7,0,24,14.9,8.5,2.7,3.6,101050,0
5,5.4,76,13.9,11.2,7.5,0,100710,0
4,3.6,62,13.2,10,6.2,0,101480,0
4,7.6,87,15.1,7.5,1.8,5.4,102630,0
8,0,22,15.1,9.9,4.7,0.3,102310,0
7,0,22,12.5,12.8,10.6,0.8,101320,0
4,4.9,67,13.1,10,7.4,3.4,100580,0
8,0.1,24,13.8,10.8,8.6,4.8,100010,0
6,0,21,9.6,10.2,6.5,3.6,100200,0
7,0,20,9.5,6.8,4,0.6,100510,0
3,5.5,67,9.1,6.2,2.8,2.3,100930,0
1,7.5,77,11,3.6,-1.8,0,102230,0
7,0.2,24,7.4,5.7,0.4,9.2,101740,0
5,3.4,51,6.5,5.6,3.7,0,100810,0
4,6.2,67,7.3,2.4,-1.8,2.6,100890,0
8,0.1,21,5.8,3.3,-0.7,1.2,99310,0
8,0.1,21,6.2,4.4,3.1,1.4,99210,0
7,0,18,8.5,4.4,2.5,0.5,99890,0
NA,0,17,10,4.8,1.2,0.9,100840,0
4,6.5,64,9.8,6,2,0,100570,0
4,2.3,39,6.4,6.2,2.5,0,101710,0
NA,0,17,6.4,3.4,0.5,0,102950,0
NA,0,16,10.2,3,-0.4,0.2,103390,0
8,0,16,11.3,5,-0.3,0.1,102890,0
7,0.2,20,8.5,8.8,6.2,0.1,102160,0
2,5.6,55,14,4.4,0.2,0,102200,0
6,0,15,15,7.6,1.3,0,102110,0
8,0,15,14.5,11.3,7.6,10.8,101530,0
7,0.2,19,12.9,11.2,8,0,102290,0
4,2.4,36,12.4,11.4,9.8,0,102590,0
4,1.1,27,14.4,8.2,4,0.1,102270,0
6,0.6,22,13.5,10,5.6,0,101670,0
6,2.9,36,14.2,11.2,9,0,101950,0
8,0,13,13.3,11.8,9.4,0.6,101870,0
4,3.1,36,14.1,10.4,7.6,0,102150,0
6,0.7,21,15.6,9.8,5.6,0,102280,0
8,0,13,14.7,12.2,8.8,4.1,101550,0
8,0,13,13.6,11.7,8.7,0,102250,0
7,0,13,11.7,11.9,10.2,1.8,101440,0
7,0,13,14.3,11.2,10.7,2,100880,0
7,0.4,18,11.2,11.4,8.4,8.6,99490,0
4,3.8,38,8.4,9.6,8,6.7,98860,0
6,0,12,11.9,7.6,6.7,0.7,99040,0
5,0,12,11.7,6.8,1.8,2,101150,0
5,3,33,11.4,7.5,3.3,13.8,100200,0
6,4.4,40,8,7.9,4.4,3.7,99130,0
6,0.8,20,10.5,6.8,5.7,0.3,98480,0
5,0.4,17,8,6.8,3,0,100480,0
5,0.2,15,6.7,5.7,3.4,0.2,100620,0
5,0.3,16,5.3,5.3,3.9,3.1,101040,0
5,3.4,35,5,3.6,1.9,0.4,101770,0
5,2.3,29,3.9,3.4,1.7,0,102450,0
5,2.9,32,3.2,2.8,1.7,1.6,102040,0
8,0,12,2.7,1.3,-0.6,0.7,100910,1
8,0,12,4.8,2,1.3,0.2,100290,0
6,0,12,5.3,2.7,0.6,0,101290,0
1,5.4,44,7.8,0.4,-4.4,0.1,102320,0
5,0.5,18,11.2,1.8,-4.2,4.3,102320,0
8,0,12,7.1,6.9,2.6,35.6,100380,0
6,2,28,6.2,4.1,1.1,0.2,100250,0
4,5.5,45,4.4,4,1.7,0.1,NA,0
2,2.2,29,4.3,1.8,-0.8,0,100350,0
3,5.4,45,1,1.4,-1.5,0,101380,0
4,0.1,14,2.3,-1.8,-4.6,0,101400,0
2,6.7,51,10.9,-1.8,-6,0.2,102440,0
8,0,13,9.7,2.6,-5.7,9.9,101850,0
5,3.8,39,8,5.2,0.8,0,100510,0
4,1,23,8.4,4.8,1.6,0,100660,0
6,3.2,36,6.5,5.8,3.3,0,101120,0
6,0.7,21,5,5.2,3.9,0,101730,0
7,0,13,4.9,3.8,2.6,0.1,102230,0
6,0.4,19,3.9,2.6,0.3,0,101980,0
6,0,14,3.6,2.7,1.5,0,102890,0
6,0.7,22,2.5,1.6,-0.3,0,103860,0
4,0,14,3,0.4,-1.8,0,104280,0
2,5.9,52,0.8,0.2,-2.6,0,103670,0
7,2.9,38,3.8,-1.5,-3.8,0,102090,0
7,0.1,17,5.5,-0.1,-4,0.1,101540,0
4,2.5,36,4.6,3,0.5,0,102000,0
4,6.3,57,2,2.4,0.2,0,101940,0
7,0,15,4.8,1.2,0.5,0,101220,0
8,0,16,6.7,1.8,-1.2,0.4,100550,0
4,3.7,45,8.8,4.2,1.6,7.9,100470,0
7,0.7,25,9.1,4.8,0.8,2.3,98930,0
4,4.8,53,9.1,6.4,3.7,0.3,98960,0
5,6.3,61,8,6.1,3.1,0,99430,0
1,7.1,66,8,3.5,-1,0,100300,0
2,6.6,64,5.1,3.1,-1.8,0,101770,0
3,2.9,44,3.2,1.6,-1.8,0,102730,0
4,0.6,26,6.1,-0.5,-4.2,0,103100,0
7,0.1,20,9,1.6,-3,0,102310,0
8,0.4,25,11.4,6,3,0.2,101610,0
6,4.2,55,10.1,7.6,3.9,5,100480,0
7,0.7,29,8.5,8.2,6.2,3.3,98510,0
6,2.5,45,10.2,3.2,-2.1,3,100900,0
7,0.9,32,10.4,4.9,-0.4,2,100130,0
6,0,20,10.1,6.7,3,5.3,100300,0
7,0,20,10.6,5.8,1.4,4.8,100320,0
7,0,21,8.1,6.2,1.7,0.4,99670,0
7,0,21,9.5,6.4,4.8,4.3,100400,0
8,0.3,28,11.3,6.7,3.9,2,101010,0
8,0.1,25,11.7,7.6,3.9,0.4,101190,0
7,0,22,11.2,9.6,7.4,0,100680,0
3,8.4,92,11.8,7.4,3.7,0,101670,0
6,3.9,64,10.9,7.6,3.5,0,102590,0
7,3.5,62,8.5,7.3,3.7,0,102540,0
7,0.3,31,9.2,6.4,4.4,0,101910,0
8,0,24,12.6,7.2,5.1,1.3,101890,0
5,5.8,82,8.5,9.4,6.3,0.6,101440,0
6,0,25,12.8,6,3.5,2.6,101810,0
5,2.4,57,11.1,8.2,3.5,0,102530,0
6,3.4,67,11,7.6,4.1,0,102180,0
7,2.3,58,11.1,7.6,4.3,0,101620,0
6,1.1,46,10.3,6.4,1.6,0,101450,0
8,0,28,9.4,6.6,3,1.8,101620,0
6,0.6,40,9.2,8.6,7.9,5.7,101670,0
5,1.8,56,6.7,5.4,1.7,0.2,102570,0
6,0,29,9.7,4,1.4,2.4,102720,0
4,5.5,92,6.2,5.7,1.7,0,102510,0
3,1.5,55,6.8,1.9,-2.4,0,103090,0
8,0,31,9.4,2.8,-1.1,0,103500,0
6,6.4,103,11.3,5.5,1.6,0,103660,0
7,1.5,58,10,7.2,3.1,0,103190,0
7,0,35,10.3,7.4,4.8,0,102780,0
7,3.9,93,6.9,8,5.7,0,102230,0
4,8.3,136,10,4,1.1,0,102520,0
2,8.6,141,8,3.6,-2.8,0,102340,0
6,0.6,53,10.6,3.8,-0.5,2.1,101080,0
7,0,38,8.8,7.4,4.1,8.9,98980,0
7,2.2,79,8.5,6,3.3,3.4,98050,0
5,1.1,64,11.1,5.6,2.6,0,99850,0
4,4.8,112,9.3,6.4,1.6,0.9,101720,0
7,0.6,57,10.4,6,2.7,0.3,101590,0
6,1.4,72,10.5,6.6,2.9,1.4,102050,0
7,0,42,8.9,7.4,4.2,5.2,101020,0
5,8,151,6.7,5.8,2.7,0,100840,0
7,0,43,4,4.4,2,0,101500,0
8,0,44,6.4,3.6,3.3,0,102210,0
8,0.2,52,5.5,4.4,2.5,0.8,102340,0
7,0.1,50,7.6,3.8,2,13.3,101190,0
8,0,46,2.6,4,0.5,3.3,100840,0
8,0,46,4.7,2.4,2.2,0.5,101490,0
5,7.3,156,3.2,2.6,0.4,0,100870,0
7,0.1,53,8.4,1.1,-1,0,99860,0
2,9.7,184,10.1,1.6,-5.1,0,100240,0
6,4.3,125,11.7,5.2,0.4,1.3,100780,0
7,0.7,70,12.7,8,4.3,11.3,100420,0
6,6.4,154,11.4,8.2,3.7,0,100330,0
6,3.1,113,13.3,7,2.6,6.6,100350,0
8,0.1,57,13.7,9,4.8,0.8,99350,0
7,2.5,106,11.6,10.1,6.5,5.7,99700,0
5,4.8,140,10.5,9.2,6.7,0,100320,0
5,4.4,136,11.1,5.8,1,0.1,102000,0
8,0,54,13.9,8.4,5.8,6.2,100960,0
7,2.3,107,13.2,10.6,7.2,13.2,100500,0
2,11.5,224,12.6,7.8,2.4,0.8,101970,0
2,11.1,221,13.6,7.6,2.7,0,103150,0
2,11.4,227,12.6,7.2,0.8,0,103330,0
3,9,202,12.2,7.7,2.8,0,103440,0
5,1.2,92,14.6,8.8,5.5,0,103490,0
4,6.5,174,10.4,8.1,1.6,0.1,103160,0
4,9.5,212,12,7.2,4,0,102700,0
6,6.8,181,12.2,7.1,2.2,0,102560,0
5,6,172,14.6,8.6,4.9,0,102570,0
4,4.4,151,17,8.6,2.5,0,102460,0
1,12.3,251,20,10.5,4,0,101810,0
4,9.5,220,21.3,13.6,7.1,0,101360,0
4,10.2,230,20.8,14.5,7.7,0,101500,0
5,7.8,202,19.3,14.6,8.4,0,101660,0
7,0,64,17.4,14.2,9,0,102150,0
6,3.9,150,18.3,14,10.5,0,102280,0
4,5.6,176,14.8,12.8,7.4,0,101960,0
4,8.5,217,9.1,12.1,9.4,0,101400,0
5,2.3,125,12.8,6.4,3.6,0,101580,0
4,11.7,259,11.3,7.8,2.7,1.2,102320,0
8,0,67,12.3,9.4,7.5,0.2,102440,0
7,0.8,96,13.8,9.4,6.5,0,102590,0
6,2.1,125,11.8,10.2,6.5,0,102320,0
8,0.8,97,9.5,9.5,7.2,0,101890,0
7,0.1,75,11.7,5.8,2.2,1.4,101740,0
8,0.2,80,11.5,8.6,5.4,0.4,101910,0
7,1.3,111,11.6,9.4,7.2,0.1,102100,0
7,2.4,134,12.5,8.6,5.6,2.4,102140,0
